ID,latitude,longitude,suburb,municipality
0,-37.8203,144.99016,Richmond,City of Yarra
1,-37.76606,144.97951,Brunswick East,City of Merri-bek
2,-37.90546,145.39447,Menzies Creek,Shire of Yarra Ranges
3,-37.82163,144.96672,Southbank,City of Melbourne
4,-38.05725,145.33936,Berwick,City of Casey
5,-37.91952,145.13111,Clayton,City of Monash
6,-37.86811,144.98132,St Kilda,City of Port Phillip
7,-37.81011,144.97036,Melbourne,City of Melbourne
8,-37.78374,144.75729,Derrimut,City of Brimbank
9,-37.8996,145.11447,Oakleigh East,City of Monash
10,-38.14932,145.14157,Frankston,City of Frankston
11,-37.83156,144.97064,Melbourne,City of Port Phillip
12,-37.91590601,145.0029953,Brighton,City of Bayside
13,-37.99592,145.0959,Mordialloc,City of Kingston
14,-37.80614,144.99488,Abbotsford,City of Yarra
15,-37.80087,144.98193,Fitzroy,City of Yarra
16,-37.81362,144.98665,East Melbourne,City of Melbourne
17,-37.79784,144.9455,North Melbourne,City of Melbourne
18,-37.95697,145.0561,Cheltenham,City of Kingston
19,-37.81266,144.96313,Melbourne,City of Melbourne
20,-37.78374,144.75728,Derrimut,City of Brimbank
21,-37.70789,145.10227,Greensborough,City of Banyule
22,-37.83978,145.1774,Forest Hill,City of Whitehorse
23,-37.82964,144.87163,South Kingsville,City of Hobsons Bay
24,-37.97205,145.04811,Cheltenham,City of Bayside
25,-37.80313,144.98553,Collingwood,City of Yarra
26,-37.80347,145.03583,Kew,City of Boroondara
27,-37.78975,145.00469,Clifton Hill,City of Yarra
28,-37.85996,145.02119,Armadale,City of Stonnington
29,-38.14931,145.1419,Frankston,City of Frankston
30,-37.86624,144.98286,St Kilda,City of Port Phillip
31,-37.85662,144.98615,St Kilda,City of Port Phillip
32,-37.86226,144.99778,St Kilda East,City of Port Phillip
33,-37.78302,145.00763,Northcote,City of Darebin
34,-37.64839,145.53486,Healesville,Shire of Yarra Ranges
35,-37.80415,144.97803,Fitzroy,City of Yarra
36,-37.76925,144.95275,Brunswick,City of Merri-bek
37,-37.85162,144.98943,Prahran,City of Stonnington
38,-37.87142,145.00785,St Kilda East,City of Glen Eira
39,-37.86433,144.97788,St Kilda,City of Port Phillip
40,-37.93189,145.43971,Emerald,Shire of Cardinia
41,-37.83392,144.95889,South Melbourne,City of Port Phillip
42,-37.78358,144.99885,Northcote,City of Darebin
43,-37.83196,144.96959,South Melbourne,City of Port Phillip
44,-37.81595,144.96606,Melbourne,City of Melbourne
45,-37.84707,144.98576,Prahran,City of Stonnington
46,-37.835,144.96252,South Melbourne,City of Port Phillip
47,-37.83363,144.99019,South Yarra,City of Stonnington
48,-37.80542,144.96642,Carlton,City of Melbourne
49,-37.99031,145.07744,Parkdale,City of Kingston
50,-37.84298,144.94148,Port Melbourne,City of Port Phillip
51,-37.79318,145.0789,Balwyn North,City of Boroondara
52,-37.90605,145.35069,Belgrave,Shire of Yarra Ranges
53,-37.81654,144.89004,Yarraville,City of Maribyrnong
54,-37.84318,144.94016,Port Melbourne,City of Port Phillip
55,-37.80691,144.89897,Seddon,City of Maribyrnong
56,-37.63282,145.49766,Chum Creek,Shire of Yarra Ranges
57,-37.90042,144.72496,Point Cook,City of Wyndham
58,-37.75773,145.03833,Ivanhoe,City of Banyule
59,-37.89702,145.00617,Gardenvale,City of Glen Eira
60,-37.81788,145.00865,Richmond,City of Yarra
61,-37.76434,144.98624,Northcote,City of Darebin
62,-37.88759,144.98651,Elwood,City of Port Phillip
63,-37.82721,144.95559,Southbank,City of Melbourne
64,-37.90925,144.98976,Brighton,City of Bayside
65,-37.86717,145.02877,Caulfield North,City of Glen Eira
66,-37.78773,145.00169,Clifton Hill,City of Yarra
67,-37.8317,145.04922,Hawthorn East,City of Boroondara
68,-37.78438,145.16477,Doncaster East,City of Manningham
69,-37.95301,145.01149,Sandringham,City of Bayside
70,-37.87032,144.99627,Balaclava,City of Port Phillip
71,-37.80759,144.97821,Fitzroy,City of Yarra
72,-37.90514,145.35261,Belgrave,Shire of Yarra Ranges
73,-37.74209,145.06541,Rosanna,City of Banyule
74,-37.84350204,144.9759827,Melbourne,City of Port Phillip
75,-37.88091,145.51647,Macclesfield,Shire of Yarra Ranges
76,-37.87972641,145.5159607,Macclesfield,Shire of Yarra Ranges
77,-37.89963,144.72637,Point Cook,City of Wyndham
78,-37.76158,144.97089,Brunswick,City of Merri-bek
79,-37.80455,144.95113,North Melbourne,City of Melbourne
80,-37.94771,145.00322,Sandringham,City of Bayside
81,-37.94771,145.00322,Sandringham,City of Bayside
82,-37.80428,144.97916,Fitzroy,City of Yarra
83,-37.8433,145.13555,Blackburn South,City of Whitehorse
84,-37.90741,145.34919,Belgrave,Shire of Yarra Ranges
85,-37.81663513,144.9775238,East Melbourne,City of Melbourne
86,-37.79349,145.0808,Balwyn North,City of Boroondara
87,-37.7937,145.07935,Balwyn North,City of Boroondara
88,-37.79352,145.0794,Balwyn North,City of Boroondara
89,-37.86543,145.01735,Caulfield North,City of Glen Eira
90,-37.88935,145.00411,Elsternwick,City of Glen Eira
91,-37.77088,144.97016,Brunswick,City of Merri-bek
92,-37.87686,144.97723,Elwood,City of Port Phillip
93,-37.83931,145.17783,Forest Hill,City of Whitehorse
94,-37.83699,144.99735,South Yarra,City of Stonnington
95,-37.80705,144.96916,Fitzroy,City of Yarra
96,-37.84744,144.9914,Prahran,City of Stonnington
97,-37.86535,144.99658,St Kilda East,City of Port Phillip
98,-37.91997,145.33043,Upwey,Shire of Yarra Ranges
99,-37.83958,144.99365,South Yarra,City of Stonnington
100,-37.80237,144.9835,Fitzroy,City of Yarra
101,-37.8169,144.96057,Melbourne,City of Melbourne
102,-37.83663,144.99344,South Yarra,City of Stonnington
103,-37.9056,145.39525,Menzies Creek,Shire of Yarra Ranges
104,-37.86939,144.81845,Altona,City of Hobsons Bay
105,-37.76653,144.9926,Northcote,City of Darebin
106,-38.19004,145.20658,Langwarrin South,City of Frankston
107,-37.81745,144.96457,Melbourne,City of Melbourne
108,-37.84972,144.9798,Melbourne,City of Port Phillip
109,-37.83481,145.03514,Hawthorn,City of Boroondara
110,-37.63358,145.51155,Healesville,Shire of Yarra Ranges
111,-37.8473,144.99358,Prahran,City of Stonnington
112,-37.80209,144.98813,Collingwood,City of Yarra
113,-37.8221,144.99922,Richmond,City of Yarra
114,-37.91904,145.33242,Upwey,Shire of Yarra Ranges
115,-37.63367,145.51249,Healesville,Shire of Yarra Ranges
